id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06a013ffff,01420601000116,4,rais_2017,4,rais_2017,TAG AUDITORIA E CONSULTORIA EMPRESARIAL SS
89a8a06a013ffff,01425238000121,1,rais_2017,1,rais_2017,F F LOPES INTERMEDIACAO COMERCIAL LTDA
89a8a06a013ffff,01436824000171,1,rais_2017,1,rais_2017,ROFIA ADMINISTRACAO E PARTICIPACOES LTDA
89a8a06a013ffff,01470609000197,6,rais_2017,5,rais_2017,MASTER PIECE TECNOLOGIA LTDA
89a8a06a013ffff,01688585000147,9,rais_2017,8,rais_2017,MORELLI ADVOGADOS ASSOCIADOS
89a8a06a013ffff,01748018000139,2,rais_2017,2,rais_2017,JBR DIGITALIZACAO E COMUNICACAO LTDA
89a8a06a013ffff,01893964000179,3,rais_2017,2,rais_2017,PIATA PROMOTORA DE VENDAS SC LTDA
89a8a06a013ffff,01954054000310,18,rais_2017,14,rais_2017,EDELMAN DO BRASIL CONSULT.E COMUNIC.LT
89a8a06a013ffff,01974465000106,15,rais_2017,12,rais_2017,MARCOS BARROS ESPINOLA ADVOG ASSOCIADOS
89a8a06a013ffff,02000895000785,2,rais_2017,2,rais_2017,CECM DOS SERV. DO PODER JUDICIARIO DO RIO DE
89a8a06a013ffff,02068632000201,85,rais_2017,60,rais_2017,SOFTTEK TECNOLOGIA DA INFORMACAO LTDA
89a8a06a013ffff,02231030000134,15,rais_2017,16,rais_2017,GLOBALSTAR DO BRASIL LTDA
89a8a06a013ffff,02247897000188,6,rais_2017,6,rais_2017,JPK COMERCIO DE ALIMENTOS LTDA ME
89a8a06a013ffff,02257534000123,1,rais_2017,1,rais_2017,APAS ASSOCIACAO DOS PARTICIPANTES DA SISTEL
89a8a06a013ffff,02264664000193,49,rais_2017,60,rais_2017,BENS CONSULTORIA E CORRETORA DE SEGUROS LTDA
89a8a06a013ffff,02266149000142,,,1,new_estab_2018,TOSO ADVOGADOS
89a8a06a013ffff,02349992000192,2,rais_2017,1,rais_2017,NIZZO DE MOURA SOCIEDADE INDIVIDUAL DE ADVOCA
89a8a06a013ffff,02408485000697,4,rais_2017,4,rais_2017,COMTEX INDUSTRIA E COMERCIO IMPORTACAO E EXPO
89a8a06a013ffff,02525920000159,2,rais_2017,2,rais_2017,MARILIA ARRUDA ADVOGADOS ASSOCIADOS
89a8a06a013ffff,02570099700190,,,41,new_estab_2018,VANELE ROCHA FALCAO CESAR
89a8a06a013ffff,02615966000169,2,rais_2017,2,rais_2017,TRILHA DA INOVACAOPROJTECN E EDUCACION LTDA
89a8a06a013ffff,02659002000112,2,rais_2017,2,rais_2017,TAGUS GESTAO E DESENVOLVIMENTO DA EDUCACAO E
89a8a06a013ffff,02732426000165,3,rais_2017,3,rais_2017,ANTONIO CARLOS AMORIM ADVOGADOS
89a8a06a013ffff,02879136000149,63,rais_2017,30,rais_2017,SERTENGE EMPREENDIMENTOS E PARTICIPACOES LTDA
89a8a06a013ffff,02892623000141,1,rais_2017,1,rais_2017,SINAL EMPREENDIMENTOS E INCORPORACOES LTDA
89a8a06a013ffff,02956234000132,43,rais_2017,41,rais_2017,TELELISTAS REGIAO 1 LTDA
89a8a06a013ffff,03034450000193,13,rais_2017,13,rais_2017,WANMARC PRODUCOES ARTISTICAS LTDA EPP
89a8a06a013ffff,03054882000166,58,rais_2017,50,rais_2017,WIETHA ALIMENTOS EIRELI EPP
89a8a06a013ffff,03064366000112,1,rais_2017,,,
89a8a06a013ffff,03107394000170,22,rais_2017,19,rais_2017,RESTAURANTE ALENTEJANO LIMITADA EPP
89a8a06a013ffff,03151140000159,3,rais_2017,2,rais_2017,SME COMERCIO E REPRESENTACOES LTDA
89a8a06a013ffff,03195861000241,14,rais_2017,13,rais_2017,FACULDADE TREVISAN LTDA
89a8a06a013ffff,03207499000281,10,rais_2017,10,rais_2017,INSTITUTO SOC M A R T ISMART
89a8a06a013ffff,03214883000120,1,rais_2017,,,
89a8a06a013ffff,03332401000137,1,rais_2017,2,rais_2017,GUERRA ADVOGADOS ASSOCIADOS
89a8a06a013ffff,03424659000163,3,rais_2017,,,
89a8a06a013ffff,03518656000199,4,rais_2017,3,rais_2017,PARTIDO TRABALHISTA BRASILEIRO RJ
89a8a06a013ffff,03580510000254,322,rais_2017,222,rais_2017,MUNDIVOX DO BRASIL LTDA
89a8a06a013ffff,03657699000660,20,rais_2017,20,rais_2017,SINDICATO NACIONAL DOS AUDITORES FISCAIS DA R
89a8a06a013ffff,03667498000139,44,rais_2017,,,
89a8a06a013ffff,03671159000126,1,rais_2017,,,
89a8a06a013ffff,03720429000141,1,rais_2017,1,rais_2017,RIBEIRO DE AMORIM ADVOGADOS ASSOCIADOS - ME
89a8a06a013ffff,03803423000138,2,rais_2017,1,cep_changed_2018,SRSR LL SERVICOS D CONSERVACAO E LIMPEZA LTDA
89a8a06a013ffff,03839889000193,27,rais_2017,27,rais_2017,TELELISTAS REGIAO 2 LTDA
89a8a06a013ffff,03848688000152,377,rais_2017,363,rais_2017,SENAI SEDE
89a8a06a013ffff,03849849000203,2,rais_2017,2,rais_2017,COSTA E ARRUDA ADVOGADOS ASSOCIADOS
89a8a06a013ffff,03851171000112,806,rais_2017,847,rais_2017,SESI SEDE
89a8a06a013ffff,03869843000117,3,rais_2017,4,rais_2017,ASAS AGENCIA DE SOLUCOES AMBIENTAIS E SOCIAIS
89a8a06a013ffff,03886187000160,10,rais_2017,3,rais_2017,ATHENAS CONSULTORIA E INFORMATICA S/A
89a8a06a013ffff,03918210000151,18,rais_2017,20,rais_2017,SAN JOSE PRODUTOS NATURAIS LTDAME
89a8a06a013ffff,03961966000183,9,rais_2017,8,rais_2017,LBM EVENTOS LTDA EPP
89a8a06a013ffff,03993301000151,1,rais_2017,1,rais_2017,MACEDO E MACEDO ADVOGADOS ASSOCIADOS
